Stage,Date,Distance,Origin,Destination,Type,Winner,Winner_Country,id
11,1978-07-11,161.0,Pau,Saint-Lary-Soulan Pla d'Adet,Mountain,Mariano Martínez,FRA,551
12a,1978-07-12,158.0,Tarbes,Valence d'Agen,Flat,Cancelled,NA,97
12b,1978-07-12,96.0,Valence d'Agen,Toulouse,Flat,Jacques Esclassan,FRA,349
13,1978-07-13,221.0,Figeac,Super Besse,Hilly,Paul Wellens,BEL,647
14,1978-07-14,52.0,Besse-en-Chandesse,Puy de Dôme,Time Trial,Joop Zoetemelk,NED,414
15,1978-07-15,196.0,Saint-Dier-d'Auvergne,Saint-Étienne,Hilly,Bernard Hinault,FRA,74
16,1978-07-16,241.0,St-Étienne,Alpe d'Huez,Mountain,Hennie Kuiper,NED,324
17,1978-07-18,225.0,Grenoble,Morzine,Mountain,Christian Seznec,FRA,111
18,1978-07-19,137.0,Morzine,Lausanne,Flat,Gerrie Knetemann,NED,272
19,1978-07-20,182.0,Lausanne,Belfort,Flat,Marc Demeyer,BEL,529
20,1978-07-21,72.0,Metz,Nancy,Time Trial,Bernard Hinault,FRA,74
21,1978-07-22,207.0,Epernay,Senlis,Flat,Jan Raas,NED,359
22,1978-07-23,162.0,Saint Germain en Laye,Paris,Flat,Gerrie Knetemann,NED,272
P,1977-06-30,5.0,Fleurance,Fleurance,Time Trial,Dietrich Thurau,FRG,143
1,1977-07-01,237.0,Fleurance,Auch,Flat,Pierre-Raymond Villemiane,FRA,672
2,1977-07-02,253.0,Auch,Pau,Mountain,Dietrich Thurau,FRG,143
3,1977-07-03,248.0,Oloron-Sainte-Marie,Vitoria-Gasteiz,Mountain,José Nazabal,ESP,432
4,1977-07-04,256.0,Vitoria-Gasteiz,Seignosse le Penon,Mountain,Régis Delépine,FRA,758
5a,1977-07-05,139.0,Morcenx,Bordeaux,Flat,Jacques Esclassan,FRA,349
5b,1977-07-05,30.0,Bordeaux,Bordeaux,Time Trial,Dietrich Thurau,FRG,143
